Elephant, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey, How big is the animal?, Larger than a car, What type of skin does it have?, Leather, What is its habitat?, Rainforest/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Trunk/Tusks, What shape are its ears?, Round
Camel, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Desert, Does it have a tail?, Yes, Does it have distinguishing features?, Humps, What shape are its ears?, Round
Beaver, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Tiger, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Orange/Black/White, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Forest/Raiforest, Does it have a tail?, Yes, Does it have distinguishing features?, Stripes, What shape are its ears?, Round
Bison, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Forest/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
Rhino, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey, How big is the animal?, Larger than a car, What type of skin does it have?, Leather, What is its habitat?, Grassland/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
Bobcat, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Round
Orangutan, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Orange/Red, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Rainforest, Does it have a tail?, No, Does it have distinguishing features?, No, What shape are its ears?, Round
Buffalo, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Larger than a desktop computer, What type of skin does it have?, Hair, What is its habitat?, Forest/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
Cheetah, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Round
Chimpanzee, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Grey/Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
Chipmunk, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Stripes, What shape are its ears?, Round
Leopard, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Gold, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Rainforest/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Round
Cougar, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Pointed
Cow, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/White, How big is the animal?, Larger  than a car, What type of skin does it have?, Hair, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
Coyote, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Grey, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Pointed
Deer, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/White, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Spots/Antlers/None, What shape are its ears?, Round
Donkey, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Grey, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face/Mane, What shape are its ears?, Round
Cat, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Orange/White/Grey, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Hair, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round/Pointed
Gorilla, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Grey/Black, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Rainforest, Does it have a tail?, No, Does it have distinguishing features?, No, What shape are its ears?, Round
Panda, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black/White/Red, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Rainforest, Does it have a tail?, Yes, Does it have distinguishing features?, Eye Markings, What shape are its ears?, Round
Giraffe, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/White/Gold, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Pointed
Goat, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/White, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Domestic/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
Lion, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Gold, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Grassland/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Mane, What shape are its ears?, Round
Hedgehog, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Leather, What is its habitat?, Forest, Does it have a tail?, No, Does it have distinguishing features?, Spikes, What shape are its ears?, Round
Hippo, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Grey, How big is the animal?, Larger than a car, What type of skin does it have?, Leather, What is its habitat?, Wetland, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Horse, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Red/Grey/White, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Grassland/Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Mane, What shape are its ears?, Round
Squirrel, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Grey/Red, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Impala, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/White, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Grassland/Plains, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
Jaguar, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black/Gold, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Rainforest, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Round
Kangaroo, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Brown, How big is the animal?, Larger than a car, What type of skin does it have?, Fur, What is its habitat?, Grassland/Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Koala, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Grey, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Rainforest, Does it have a tail?, No, Does it have distinguishing features?, No, What shape are its ears?, Round
Lynx, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Mountain/Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Pointed
Mole, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest/Grassland, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Round
Monkey, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Brown/Black/Red/Gold, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Hair, What is its habitat?, Grassland/Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Moose, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Forest/Mountain, Does it have a tail?, Yes, Does it have distinguishing features?, Antlers, What shape are its ears?, Round
Mouse, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Grey, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Rat, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Ocelot, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Gold, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Wetland/Rainforest, Does it have a tail?, Yes, Does it have distinguishing features?, Spots, What shape are its ears?, Round
Otter, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Wetland, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Panther, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Grassland/Rainforest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Pig, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black/Pink, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Long Face, What shape are its ears?, Pointed
Porcupine, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Leather, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Spikes, What shape are its ears?, Round
Racoon, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Grey/White/Black, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Eye Markings, What shape are its ears?, Round
Sheep, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, White/Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Wool, What is its habitat?, Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Round
Skunk, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black/White, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Stripe, What shape are its ears?, Round
Sloth, What is the animal's diet?, Omnivore, What kind of feet does the animal have?, Paw, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Grey/White, How big is the animal?, Smaller than a desktop computer, What type of skin does it have?, Fur, What is its habitat?, Rainforest, Does it have a tail?, No, Does it have distinguishing features?, No, What shape are its ears?, Round
Wallaby, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Foot, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Brown/Grey, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Fur, What is its habitat?, Forest, Does it have a tail?, Yes, Does it have distinguishing features?, No, What shape are its ears?, Pointed
Warthog, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Brown/Black, How big is the animal?, Between a desktop computer and a dryer, What type of skin does it have?, Hair, What is its habitat?, Grassland/Forest, Does it have a tail?, Yes, Does it have distinguishing features?, Tusks, What shape are its ears?, Pointed
Zebra, What is the animal's diet?, Herbivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 4, Does the animal have arms?, No, What colour is the animal?, Black/White, How big is the animal?, Larger than a car, What type of skin does it have?, Hair, What is its habitat?, Grassland, Does it have a tail?, Yes, Does it have distinguishing features?, Stripes/Mane, What shape are its ears?, Round
Minotaur, What is the animal's diet?, Carnivore, What kind of feet does the animal have?, Hoof, How many legs does the animal have?, 2, Does the animal have arms?, Yes, What colour is the animal?, Brown, How big is the animal?, Larger than a car, What type of skin does it have?, Skin/Hair, What is its habitat?, Grassland/Mountain/Forest/Domestic, Does it have a tail?, Yes, Does it have distinguishing features?, Horns, What shape are its ears?, Round
